Food, Calories per 100g, Proteins per 100g, Carbohydrates per 100g, Fats per 100g
Chicken, 165, 31, 0, 3.6
Rice, 130, 2.4, 28, 0.3
Oats, 389, 17, 66, 7
Eggs, 155, 13, 1.1, 11
Tuna, 116, 26, 0, 1.3
Pasta, 157, 5.95, 30, 1.3
Milk, 61, 3.3, 4.8, 3.2
Apple, 52, 0.3, 14, 0.2
Banana, 89, 1.1, 23, 0.3
Nuts, 654, 15, 13, 65
