Alimento, Calorías por 100g, Proteínas por 100g, Carbohidratos por 100g, Grasas por 100g
Pollo, 165, 31, 0, 3.6
Arroz, 130, 2.4, 28, 0.3
Avena, 389, 17, 66, 7
Huevos, 155, 13, 1.1, 11
Atún, 116, 26, 0, 1.3
Pasta, 157, 5.95, 30, 1.3
Leche, 61, 3.3, 4.8, 3.2
Manzana, 52, 0.3, 14, 0.2
Banana, 89, 1.1, 23, 0.3
Nueces, 654, 15, 13, 65
